Concept name	OntologyNodes	Assigned indicator	Default indicator match	Description	DatamartIdentifier1	DatamartIdentifier2	DatamartIdentifier3	Cheryl's Score for CauseMos Default Indicator	Cheryl's Better Default Available (Yes/No/Node Issue)	Cheryl's Composite Score for CauseMos Default	Cheryl's Score for UAZ Indicators	Cheryl's Better Sets Available (BeatsBest/BetterCoverage/No)	Cheryl's Composite Score for UAZ	"Cheryl's Causemos Default beats UAZ (1 if true, blank if not)"	"Cheryl's UAZ beats Causemos Default (1 if true, blank if not)"	Robyn's Score for Default Indicator	Robyn's Better Default Available (Yes/No/Node Issue)	Robyn's composite score for Default Indicator	Robyn's Score for UAZ Indicators	Robyn's Better Sets Available (BeatsBest/BetterCoverage/No)	Robyn's composite score for UAZ indicators	"Robyn's Causemos Default beats UAZ (1 if true, blank if not)"	"Robyn's UAZ beats Causemos Default (1 if true, blank if not)"	Cheryl's Datamart 1	Cheryl's Datamart 1 Description	Gold1a	Cheryl's  Datamart2	Cheryl's Datamart2 Description	Gold2a	Cheryl's Datamart 3	Cheryl's Datamart 3 Description	Gold3a	Cheryl's Comments	RK Dataset 1	RK Output 1	Gold1b	RK Dataset 2	RK Output 2	Gold2b	RK Dataset 3	RK Output 3	Gold3b	Robyn's Notes																									
wm/concept/agriculture/pest/locust/gregarious/locust_swarm	wm/concept/agriculture/pest/locust/gregarious/locust_swarm	FAO Locust Swarms	null		DOJO/UAZ_VUAZ-7529/VUAZ-7529	DOJO/UAZ_VUAZ-7517/VUAZ-7517	DOJO/UAZ_VUAZ-7531/VUAZ-7531																																																													
wm/concept/agriculture/poultry/bird_condition_healthy	wm/concept/agriculture/poultry/bird_condition_healthy	"Horses (Stocks, units = Head)"	null		DOJO/b110fa97-ede6-4d5a-8d15-c5f61275a517/Chickens (per 1000\/ head) 	DOJO/UAZ_VUAZ-5910/VUAZ-5910	DOJO/UAZ_VUAZ-5979/VUAZ-5979																																																													
wm/concept/agriculture/poultry/bird_condition_sick	wm/concept/agriculture/poultry/bird_condition_sick	"Horses (Stocks, units = Head)"	DOJO/db695e0b-69c6-4914-a25d-190d6283a82a/Locpresent		"DOJO/FAOSTAT_EAfrica_live_animals-PBhattacharya-Aug-21/Meat, pig (Production, units = tonnes)"	"DOJO/FAOSTAT_EAfrica_live_animals-PBhattacharya-Aug-21/Buffaloes (Stocks, units = Head)"	"DOJO/FAOSTAT_EAfrica_live_animals-PBhattacharya-Aug-21/Chickens (Stocks, units = 1000 Head)"																																																													
wm/concept/agriculture/poultry/day_old_chicks	wm/concept/agriculture/poultry/day_old_chicks	"Horses (Stocks, units = Head)"	null		DOJO/UAZ_VUAZ-8311/VUAZ-8311	DOJO/UAZ_VUAZ-7529/VUAZ-7529	DOJO/UAZ_VUAZ-7517/VUAZ-7517																																																													
wm/concept/crisis_or_disaster	wm/concept/crisis_or_disaster/	Security Effectiveness (seceff)	null		DOJO/639e52da-521f-4263-aefc-5ebc7d980d87/Disaster New Displacements	DOJO/98d08096-2749-4897-b5f7-7fc84d84f041/Event Name	DOJO/9363942e-bdc2-40cb-9026-fca29bf581fa/Displaced																																																													
wm/concept/crisis_or_disaster/conflict	wm/concept/crisis_or_disaster/conflict/	ACLED Data - East and Horn of Africa Region	null		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/UAZ_VUAZ-8136/VUAZ-8136	DOJO/UAZ_VUAZ-8135/VUAZ-8135																																																													
wm/concept/crisis_or_disaster/conflict	wm/concept/crisis_or_disaster/conflict/	"MAJOR EPISODES OF POLITICAL VIOLENCE (MEPV) AND CONFLICT REGIONS, 1946-2018 (MEPVv2018.xlsx)"	null		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/UAZ_VUAZ-8136/VUAZ-8136	DOJO/UAZ_VUAZ-8135/VUAZ-8135																																																													
wm/concept/crisis_or_disaster/conflict	wm/concept/crisis_or_disaster/conflict/	The Deadly Electoral Conflict Dataset - DECO (DECO_v.1.0-East_Africa.xlsx)	null		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/UAZ_VUAZ-8136/VUAZ-8136	DOJO/UAZ_VUAZ-8135/VUAZ-8135																																																													
wm/concept/crisis_or_disaster/conflict	wm/concept/crisis_or_disaster/conflict/	fatalities	null		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/UAZ_VUAZ-8136/VUAZ-8136	DOJO/UAZ_VUAZ-8135/VUAZ-8135																																																													
wm/concept/crisis_or_disaster/conflict/armed_conflict	wm/concept/crisis_or_disaster/conflict/armed_conflict	"MAJOR EPISODES OF POLITICAL VIOLENCE (MEPV) AND CONFLICT REGIONS, 1946-2018 (MEPVv2018.xlsx)"	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/Number Of Wounded		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED	DOJO/UAZ_VUAZ-8379/VUAZ-8379	2	Yes	2	3	BetterCoverage	3		1	3	no	3	3	No	3			"{""id"":""UAZ_VUAZ-8135"", ,""name"":""University of Arizona Indicators """	",""display_name"":""Conflict incidences[number of cases]"", ,""description"":""Conflict incidences[number of cases]"""		"{""id"":""b790580d-f97e-46e8-8f0f-a822474014da"", ,""name"":""MAJOR EPISODES OF POLITICAL VIOLENCE (MEPV) AND CONFLICT REGIONS, 1946-2018 (MEPVv2018.xlsx)"""	",""display_name"":""IND (Independent State indicator)"", ,""description"":""independent state indicator (ind): 0 = non-independent state; 1 = independent state"""		"{""id"":""709abbb4-9219-497d-9d31-e12bab1043c5"", ,""name"":""The Deadly Electoral Conflict Dataset - DECO (DECO_v.1.0-East_Africa.xlsx)"""	",""display_name"":""country_non_primary"", ,""description"":""country where the conflict event took place"""		" The Causemos default indicator match is: Islamist terrorist attacks in the world (1979-2017 possible estimate) - Africa and Middle East/Numnber of wounded.   The first UAZ  return is Conflict Event Count from   {""id"":""709abbb4-9219-497d-9d31-e12bab1043c5"", ,""name"":""The Deadly Electoral Conflict Dataset - DECO (DECO_v.1.0-East_Africa.xlsx)"" and is the best match. The second  is NUMBER OF WOUNDED from  ""Islamist terrorist attacks in the world (1979-2017 retained estimate) - Africa and Middle East.  The third is a collection of indicators that present  Violence against civilians ."	ACLED Data - East and Horn of Africa Region	number of distinct events that occurred		ACLED	fatalities		Islamist terrorist attacks in the world (2020-2021 retained estimate) - Africa and Middle East - Attentats-islamistes-2020-2021-Africa-MiddleEast-Retained-Estimate.xlsx	Number of Deaths from Terrorist Incident																											
wm/concept/crisis_or_disaster/conflict/armed_conflict	wm/concept/crisis_or_disaster/conflict/armed_conflict	fatalities	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/Number Of Wounded		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED	DOJO/UAZ_VUAZ-8379/VUAZ-8379																																																													
wm/concept/crisis_or_disaster/conflict/crime	wm/concept/crisis_or_disaster/conflict/crime	Fragile States Index	null		DOJO/UAZ_VUAZ-8381/VUAZ-8381	DOJO/UAZ_VUAZ-8379/VUAZ-8379	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/admin2																																																													
wm/concept/crisis_or_disaster/conflict/crime	wm/concept/crisis_or_disaster/conflict/crime	"MAJOR EPISODES OF POLITICAL VIOLENCE (MEPV) AND CONFLICT REGIONS, 1946-2018 (MEPVv2018.xlsx)"	null		DOJO/UAZ_VUAZ-8381/VUAZ-8381	DOJO/UAZ_VUAZ-8379/VUAZ-8379	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/admin2																																																													
wm/concept/crisis_or_disaster/conflict/crime	wm/concept/crisis_or_disaster/conflict/crime	fatalities	null		DOJO/UAZ_VUAZ-8381/VUAZ-8381	DOJO/UAZ_VUAZ-8379/VUAZ-8379	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/admin2																																																													
wm/concept/crisis_or_disaster/conflict/crime_safety_net	wm/concept/crisis_or_disaster/conflict/crime wm/concept/safety_net	fatalities	null		DOJO/WDI_domestic_general_government_health_expenditure_of_current_health_expenditure/domestic_general_government_health_expenditure_of_current_health_expenditure	DOJO/WDI_subsidies_and_other_transfers_current_lcu/subsidies_and_other_transfers_current_lcu	DOJO/WDI_subsidies_and_other_transfers_of_expense/subsidies_and_other_transfers_of_expense																																																													
wm/concept/crisis_or_disaster/conflict/discontent	wm/concept/crisis_or_disaster/conflict/discontent	ACLED Data - East and Horn of Africa Region	null		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/UAZ_VUAZ-8382/VUAZ-8382	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/conflict_name																																																													
wm/concept/crisis_or_disaster/conflict/discontent	wm/concept/crisis_or_disaster/conflict/discontent	Social Conflict Analysis Database (SCAD) - Kenya - 1990-2016 (SCAD_OPs_10-Kenya.xlsx)	null		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/UAZ_VUAZ-8382/VUAZ-8382	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/conflict_name																																																													
wm/concept/crisis_or_disaster/conflict/discontent	wm/concept/crisis_or_disaster/conflict/discontent	fatalities	null		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/UAZ_VUAZ-8382/VUAZ-8382	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/conflict_name																																																													
wm/concept/crisis_or_disaster/conflict/hostility	wm/concept/crisis_or_disaster/conflict/hostility	"MAJOR EPISODES OF POLITICAL VIOLENCE (MEPV) AND CONFLICT REGIONS, 1946-2018 (MEPVv2018.xlsx)"	DOJO/639e52da-521f-4263-aefc-5ebc7d980d87/Conflict Stock Displacement		DOJO/UAZ_VUAZ-8379/VUAZ-8379	DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED																																																													
wm/concept/crisis_or_disaster/conflict/hostility	wm/concept/crisis_or_disaster/conflict/hostility	The Political Terror Scale (PTS)	DOJO/639e52da-521f-4263-aefc-5ebc7d980d87/Conflict Stock Displacement		DOJO/UAZ_VUAZ-8379/VUAZ-8379	DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED																																																													
wm/concept/crisis_or_disaster/conflict/hostility	wm/concept/crisis_or_disaster/conflict/hostility	fatalities	DOJO/639e52da-521f-4263-aefc-5ebc7d980d87/Conflict Stock Displacement		DOJO/UAZ_VUAZ-8379/VUAZ-8379	DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED																																																													
wm/concept/crisis_or_disaster/conflict/hostility_death	wm/concept/crisis_or_disaster/conflict/hostility wm/process/population/death	fatalities	null		DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF DEATHS	DOJO/UAZ_VUAZ-8379/VUAZ-8379	DOJO/4494cd84-e8dd-48e2-8b06-6b8a22a4cc64/fatalities																																																													
wm/concept/crisis_or_disaster/conflict/tension	wm/concept/crisis_or_disaster/conflict/tension	FSI dataset	DOJO/639e52da-521f-4263-aefc-5ebc7d980d87/Conflict Stock Displacement		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/conflict_name	DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/country_non_primary																																																													
wm/concept/crisis_or_disaster/conflict/tension	wm/concept/crisis_or_disaster/conflict/tension	State Fragility Index and Matrix - 1995-2018 (SFIv2018.xls)	DOJO/639e52da-521f-4263-aefc-5ebc7d980d87/Conflict Stock Displacement		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/conflict_name	DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/country_non_primary																																																													
wm/concept/crisis_or_disaster/conflict/tension	wm/concept/crisis_or_disaster/conflict/tension	The Deadly Electoral Conflict Dataset - DECO (DECO_v.1.0-East_Africa.xlsx)	DOJO/639e52da-521f-4263-aefc-5ebc7d980d87/Conflict Stock Displacement		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/conflict_name	DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/country_non_primary																																																													
wm/concept/crisis_or_disaster/conflict/tension	wm/concept/crisis_or_disaster/conflict/tension	fatalities	DOJO/639e52da-521f-4263-aefc-5ebc7d980d87/Conflict Stock Displacement		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/conflict_name	DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/country_non_primary																																																													
wm/concept/crisis_or_disaster/conflict/tension	wm/concept/crisis_or_disaster/conflict/tension	null	DOJO/639e52da-521f-4263-aefc-5ebc7d980d87/Conflict Stock Displacement		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/conflict_name	DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/country_non_primary																																																													
wm/concept/crisis_or_disaster/conflict/tension_instability	wm/concept/crisis_or_disaster/conflict/tension wm/property/instability	ACLED	null		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/639e52da-521f-4263-aefc-5ebc7d980d87/Conflict Stock Displacement	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/conflict_name																																																													
wm/concept/crisis_or_disaster/conflict/tension_instability	wm/concept/crisis_or_disaster/conflict/tension wm/property/instability	ACLED Data - East and Horn of Africa Region	null		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/639e52da-521f-4263-aefc-5ebc7d980d87/Conflict Stock Displacement	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/conflict_name																																																													
wm/concept/crisis_or_disaster/conflict/tension_instability	wm/concept/crisis_or_disaster/conflict/tension wm/property/instability	fatalities	null		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/639e52da-521f-4263-aefc-5ebc7d980d87/Conflict Stock Displacement	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/conflict_name	0	Yes	1	2	BetterCoverage	2		1	0	Yes	1	2	BeatsBest	2		1	[truncated]	[truncated]	DOJO/UAZ_VUAZ-5815/VUAZ-5815	[truncated]	[truncated]	DOJO/WDI_presence_of_peace_keepers_number_of_troops_police_and_military_observers_in_mandate/presence_of_peace_keepers_number_of_troops_police_and_military_observers_in_mandate				[truncated]	[truncated]	[truncated]	DOJO/b016e9d7-3214-4c3b-bc8f-9fc99678e8b5/Political Stability and Absence of Violence\/Terrorism: Estimate	[truncated]	[truncated]	DOJO/e13cb0d7-fa32-465b-b990-445554b74c78/sfi	[truncated]	[truncated]	DOJO/b790580d-f97e-46e8-8f0f-a822474014da/actotal																										
wm/concept/crisis_or_disaster/conflict_resolution	wm/concept/crisis_or_disaster/conflict/ wm/process/conflict/resolution	State Fragility Index and Matrix - 1995-2018 (SFIv2018.xls)	null		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/conflict_name	DOJO/UAZ_VUAZ-8135/VUAZ-8135																																																													
wm/concept/crisis_or_disaster/conflict_resolution	wm/concept/crisis_or_disaster/conflict/ wm/process/conflict/resolution	fatalities	null		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/conflict_name	DOJO/UAZ_VUAZ-8135/VUAZ-8135																																																													
wm/concept/crisis_or_disaster/conflict_risk	wm/concept/crisis_or_disaster/conflict/ wm/property/risk	fatalities	null		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/conflict_name	DOJO/UAZ_VUAZ-8135/VUAZ-8135																																																													
wm/concept/crisis_or_disaster/early_warning	wm/concept/crisis_or_disaster/early_warning	Security Effectiveness (seceff)	DOJO/e7160d9e-a5f3-42fe-abc6-e9e1b296c2ce/Fatalities		DOJO/WDI_mortality_rate_attributed_to_unintentional_poisoning_per_100_000_population/mortality_rate_attributed_to_unintentional_poisoning_per_100_000_population	DOJO/WDI_mortality_rate_attributed_to_unintentional_poisoning_female_per_100_000_female_population/mortality_rate_attributed_to_unintentional_poisoning_female_per_100_000_female_population	DOJO/WDI_mortality_rate_attributed_to_unintentional_poisoning_male_per_100_000_male_population/mortality_rate_attributed_to_unintentional_poisoning_male_per_100_000_male_population																																																													
